fpr,tpr
0.0,0.0
0.0,0.00011111111111111112
0.0,0.20155555555555554
0.0,0.20177777777777778
0.0,0.2288888888888889
0.0,0.2291111111111111
0.0,0.2623333333333333
0.0,0.26255555555555554
0.0,0.2886666666666667
0.0,0.28888888888888886
0.0,0.31044444444444447
0.0,0.31066666666666665
0.0,0.3328888888888889
0.0,0.33311111111111114
0.0,0.3418888888888889
0.0,0.3421111111111111
0.0,0.3968888888888889
0.0,0.39711111111111114
0.0,0.41733333333333333
0.0,0.41755555555555557
0.0,0.4504444444444444
0.0,0.45066666666666666
0.0,0.5134444444444445
0.0,0.5136666666666667
0.0,0.5223333333333333
0.0,0.5225555555555556
0.0,0.5725555555555556
0.0,0.5727777777777778
0.0,0.5781111111111111
0.0,0.5783333333333334
0.0,0.5861111111111111
0.0,0.5863333333333334
0.0,0.6008888888888889
0.0,0.6011111111111112
0.0,0.6971111111111111
0.0,0.6973333333333334
0.0,0.7457777777777778
0.0,0.746
0.0,0.9375555555555556
0.0,0.9377777777777778
0.0,0.9756666666666667
0.0,0.9758888888888889
0.0,0.9951111111111111
0.0,0.9953333333333333
0.0,1.0
0.056,1.0
0.05605555555555555,1.0
0.08033333333333334,1.0
0.08038888888888888,1.0
0.11897222222222222,1.0
0.11902777777777777,1.0
0.1555,1.0
0.15555555555555556,1.0
0.1637222222222222,1.0
0.16377777777777777,1.0
0.1837777777777778,1.0
0.18383333333333332,1.0
0.2460277777777778,1.0
0.24608333333333332,1.0
0.24758333333333332,1.0
0.24763888888888888,1.0
0.2756111111111111,1.0
0.27566666666666667,1.0
0.2852777777777778,1.0
0.2853333333333333,1.0
0.28744444444444445,1.0
0.2875,1.0
0.3113611111111111,1.0
0.3114166666666667,1.0
0.3170277777777778,1.0
0.31708333333333333,1.0
0.32030555555555557,1.0
0.3203611111111111,1.0
0.3576111111111111,1.0
0.3576666666666667,1.0
0.37,1.0
0.3700555555555556,1.0
0.37169444444444444,1.0
0.37175,1.0
0.3785277777777778,1.0
0.3785833333333333,1.0
0.38075,1.0
0.38080555555555556,1.0
0.40397222222222223,1.0
0.40402777777777776,1.0
0.41705555555555557,1.0
0.4171111111111111,1.0
0.42636111111111114,1.0
0.42641666666666667,1.0
0.4310277777777778,1.0
0.4310833333333333,1.0
0.4315555555555556,1.0
0.4316111111111111,1.0
0.43425,1.0
0.43430555555555556,1.0
0.43505555555555553,1.0
0.4351111111111111,1.0
0.43925,1.0
0.43930555555555556,1.0
0.45108333333333334,1.0
0.45113888888888887,1.0
0.46694444444444444,1.0
0.467,1.0
0.46880555555555553,1.0
0.4688611111111111,1.0
0.4806388888888889,1.0
0.4806944444444444,1.0
0.4831388888888889,1.0
0.4831944444444444,1.0
0.5013888888888889,1.0
0.5014444444444445,1.0
0.5056944444444444,1.0
0.50575,1.0
0.5188611111111111,1.0
0.5189166666666667,1.0
0.5301111111111111,1.0
0.5301666666666667,1.0
0.5404722222222222,1.0
0.5405277777777778,1.0
0.56125,1.0
0.5613055555555555,1.0
0.5703055555555555,1.0
0.5703611111111111,1.0
0.5828333333333333,1.0
0.5828888888888889,1.0
0.59675,1.0
0.5968055555555556,1.0
0.5971111111111111,1.0
0.5971666666666666,1.0
0.6033055555555555,1.0
0.6033611111111111,1.0
0.611,1.0
0.6110555555555556,1.0
0.6335555555555555,1.0
0.6336111111111111,1.0
0.6353888888888889,1.0
0.6354444444444445,1.0
0.6390277777777778,1.0
0.6390833333333333,1.0
0.6426388888888889,1.0
0.6426944444444445,1.0
0.6561944444444444,1.0
0.65625,1.0
0.6726944444444445,1.0
0.67275,1.0
0.6836388888888889,1.0
0.6836944444444445,1.0
0.6934444444444444,1.0
0.6935,1.0
0.7020555555555555,1.0
0.7021111111111111,1.0
0.7387222222222222,1.0
0.7387777777777778,1.0
0.8037222222222222,1.0
0.8037777777777778,1.0
0.8108055555555556,1.0
0.8108611111111111,1.0
0.8171944444444444,1.0
0.81725,1.0
0.9276388888888889,1.0
0.9276944444444445,1.0
0.9407777777777778,1.0
0.9408333333333333,1.0
0.95425,1.0
0.9543055555555555,1.0
0.9664444444444444,1.0
0.9665,1.0
0.9751666666666666,1.0
0.9752222222222222,1.0
1.0,1.0
